"name","brand","os","cpu_cores","cpu_threads","gpu_vram","ram_capacity","ram_ddr_type","hdd","ssd","screen_size","screen_res","touchscreen","user_rating","price","cpu","gpu"
"hp omen 16-xd0017ax gaming laptop (amd ryzen 7 7840hs/ 32gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","8.0","16.0","8.0","32.0","ddr5","0","1024","16.1","HD+","0","4.65","118490.0","amd ryzen 7 7840hs","nvidia geforce rtx 4060"
"hp 255 g10 laptop (amd ryzen 5 7520u/ 8gb/ 512gb ssd/ win11)","hp","windows","4.0","8.0","0.0","8.0","ddr4","0","512","15.6","SD","0","4.4","28990.0","amd ryzen 5 7520u","amd integrated"
"hp victus 15-fa1319tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb rtx 4050)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.55","68841.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 15-fc0154au laptop (amd ryzen 3 7320u/ 8gb/ 512gb ssd/ win11 home)","hp","windows","4.0","8.0","0.0","8.0","ddr5","0","512","15.6","HD+","0","4.7","30790.0","amd ryzen 3 7320u","amd integrated"
"hp omen 16-wf1096tx gaming laptop (14th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","16.0","24.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.4","109100.0","intel core i7 14650hx","nvidia geforce rtx 4060"
"hp victus 15-fb0185ax gaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","6.0","12.0","4.0","8.0","ddr4","0","512","15.6","HD+","0","4.5","51990.0","amd ryzen 5 5600h","amd radeon rx 6500m"
"hp 15-fd0574tu laptop (13th gen core i3/ 16gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.7","41880.0","intel core i3 1315u","intel integrated"
"hp 15-fc0476au laptop (amd ryzen 7 5825u/ 16gb/ 512gb ssd/ win11 home)","hp","windows","8.0","16.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.75","52504.0","amd ryzen 7 5825u","amd integrated"
"hp victus 15-fb3009ax gaming laptop (amd ryzen 5 8645hs/ 16gb/ 512gb ssd/ win11/ 6gb graph)","hp","windows","6.0","12.0","6.0","16.0","ddr5","0","512","15.6","HD+","0","4.35","73990.0","amd ryzen 5 8645hs","nvidia geforce rtx 3050"
"hp 15-hr0007tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.65","59990.0","intel core i5 1334u","intel integrated"
"hp victus 15-fb0147ax gaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","6.0","12.0","4.0","8.0","ddr4","0","512","15.6","HD+","0","4.3","51880.0","amd ryzen 5 5600h","amd radeon rx 6500m"
"hp 255 g10 b1fw9pt laptop (amd ryzen 3 7320u/ 8gb/ 512gb ssd/ win11)","hp","windows","4.0","8.0","0.0","8.0","ddr4","0","512","15.6","SD","0","4.7","25290.0","amd ryzen 3 7320u","amd integrated"
"hp victus 15-fa1276tx gaming laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11 home/ 8gb graph)","hp","windows","10.0","16.0","8.0","16.0","ddr4","0","512","15.6","HD+","0","4.65","85990.0","intel core i7 13620h","nvidia geforce rtx 4060"
"hp victus 15-fa1351tx gaming laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11 home/ rtx 2050)","hp","windows","8.0","12.0","4.0","16.0","ddr4","0","512","15.6","HD+","0","4.75","56990.0","intel core i5 12450h","nvidia geforce rtx 2050"
"hp omen 16-xd0020ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","8.0","16.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.65","107990.0","amd ryzen 7 7840hs","nvidia geforce rtx 4060"
"hp victus 16-s0089ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 6gb graph)","hp","windows","8.0","16.0","6.0","16.0","ddr5","0","1024","16.1","HD+","0","4.1","77990.0","amd ryzen 7 7840hs","nvidia geforce rtx 3050"
"hp 14-ep0294tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","14.0","HD+","0","4.3","40990.0","intel core i3 1315u","intel integrated"
"hp victus 15-fb3003ax gaming laptop (amd ryzen 5 8645hs/ 16gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","6.0","12.0","4.0","16.0","ddr5","0","512","15.6","HD+","0","4.1","63990.0","amd ryzen 5 8645hs","nvidia geforce rtx 2050"
"hp 15-fd0467tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.2","58490.0","intel core i5 1334u","intel integrated"
"hp victus 15-fb2117ax gaming laptop (amd ryzen 7 8845hs/ 16gb/ 1tb ssd/ win11/ 6gb graph)","hp","windows","8.0","16.0","6.0","16.0","ddr5","0","1024","15.6","HD+","0","4.5","87990.0","amd ryzen 7 8845hs","nvidia geforce rtx 4050"
"hp omen 16-wf0148tx gaming laptop (13th gen core i9/ 16gb/ 1tb ssd/ win11 home/ 8gb graph)","hp","windows","24.0","32.0","8.0","16.0","ddr5","0","1024","16.1","3K+","0","4.0","136700.0","intel core i9 13900hx","nvidia geforce rtx 4060"
"hp victus15-fb0147ax gaming laptop (ryzen 5 5600h/ 8gb/ 512gb ssd/ win11 home/ 4gb graph)","hp","windows","6.0","12.0","4.0","8.0","ddr4","0","512","15.6","HD+","0","4.7","48990.0","amd ryzen 5 5600h","amd amd radeon rx 6500m"
"hp omen 16-xf0060ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","8.0","16.0","8.0","16.0","ddr5","0","1024","16.0","HD+","0","4.7","105490.0","amd ryzen 7 7840hs","nvidia geforce rtx 4060"
"hp 15-fd0489tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.3","39490.0","intel core i3 1315u","intel integrated"
"hp 15-fd1255tu laptop (intel core ultra 5 125h/ 16gb/ 1tb ssd/ win11 home)","hp","windows","14.0","18.0","0.0","16.0","ddr5","0","1024","15.6","HD+","0","4.45","69990.0","intel core ultra 5 series 1 125h","intel integrated"
"hp victus 15-fb0180ax gaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","6.0","12.0","4.0","8.0","ddr4","0","512","15.6","HD+","0","4.75","54990.0","amd ryzen 5 5600h","nvidia geforce rtx 3050"
"hp victus 15-fa2703tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11/ 4gb graph)","hp","windows","8.0","12.0","4.0","16.0","ddr4","0","512","15.6","HD+","0","4.65","62990.0","intel core i5 13420h","nvidia geforce rtx 2050"
"hp victus 15-fb3025ax gaming laptop (amd ryzen 9 8945hs/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","8.0","16.0","8.0","16.0","ddr5","0","1024","15.6","HD+","0","4.05","107749.0","amd ryzen 9 8945hs","nvidia geforce rtx 4060"
"hp b12v5pt laptop (13th gen core i3/ 16gb/ 512gb ssd/ win11)","hp","windows","6.0","8.0","0.0","16.0","ddr4","0","512","15.6","SD","0","4.7","33100.0","intel core i3 1315u","intel integrated"
"hp 245 g9 laptop (amd ryzen 5 5625u/ 16gb ram/ 512gb ssd/ win11)","hp","windows","6.0","12.0","0.0","16.0","ddr4","0","512","14.0","SD","0","4.4","34499.0","amd ryzen 5 5625u","amd integrated"
"hp 15s-fy5011tu laptop (12th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.05","34490.0","intel core i3 1215u","intel integrated"
"hp omen 16-xd0015ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 6gb graph)","hp","windows","8.0","16.0","6.0","16.0","ddr5","0","1024","16.1","HD+","0","4.25","97990.0","amd ryzen 7 7840hs","nvidia geforce rtx 4050"
"hp omen 16-wd0012tx gaming laptop (13th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb graph)","hp","windows","10.0","16.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.7","101100.0","intel core i7 13620h","nvidia geforce rtx 4060"
"hp omen transcend 14-fb0007tx gaming laptop (intel core ultra 7 155h/ 16gb/ 1tb ssd/ win11 home/ 8gb graph)","hp","windows","16.0","22.0","8.0","16.0","ddr5","0","1024","14.0","3K+","0","4.65","119990.0","intel core ultra 7 series 1 155h","nvidia geforce rtx 4060"
"hp victus 15-fa0187tx gaming laptop (12th gen core i7/ 16gb/ 1tb ssd/ win11/ 4gb graph)","hp","windows","10.0","16.0","4.0","16.0","ddr4","0","1024","15.6","HD+","0","4.6","74990.0","intel core i7 12650h","nvidia geforce rtx 3050"
"hp pavilion x360 14-ek1010tu laptop (13th gen core i5/ 16gb/ 1tb ssd/ win11)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","1024","14.0","HD+","1","4.15","70490.0","intel core i5 1335u","intel integrated"
"hp victus 15-fa2077tx gaming laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11 home/ 6gb rtx3050 graph)","hp","windows","10.0","16.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.75","92945.0","intel core i7 13620h","nvidia geforce rtx 3050"
"hp omnibook 5 16-ba1123tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11)","hp","windows","10.0","12.0","0.0","16.0","ddr5","0","512","16.0","HD+","1","4.35","67490.0","intel core i5 1334u","intel integrated"
"hp 250 g10 bj3r8at laptop (13th gen core i5/ 32gb/ 512gb ssd/ win11)","hp","windows","10.0","12.0","0.0","32.0","ddr4","0","512","15.6","HD+","0","4.55","62990.0","intel core i5 1334u","intel integrated"
"hp 15-fd0572tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.6","40990.0","intel core i3 1315u","intel integrated"
"hp 15-fd1254tu laptop (intel core ultra 5 125h/ 16gb/ 512gb ssd/ win11 home)","hp","windows","14.0","18.0","0.0","16.0","ddr5","0","512","15.6","HD+","0","4.1","66990.0","intel core ultra 5 series 1 125h","intel integrated"
"hp omnibook 5 16-ba1008tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11)","hp","windows","10.0","12.0","0.0","16.0","ddr5","0","512","16.0","HD+","1","4.1","69490.0","intel core i5 1334u","intel integrated"
"hp victus 15-fa2090tx gaming laptop (13th gen core i5/ 8gb/ 512gb ssd/ win11 home/ rtx 2050)","hp","windows","8.0","12.0","4.0","8.0","ddr4","0","512","15.6","HD+","0","4.2","63800.0","intel core i5 13420h","nvidia geforce rtx 2050"
"hp omnibook x flip 14-fm0058tu next gen ai pc laptop (intel core ultra 5/ 16gb ram/ 512gb ssd/ win 11)","hp","windows","8.0","8.0","0.0","16.0","ddr5","0","512","14.0","3K+","1","4.05","109990.0","intel core ultra 5 226v","intel integrated"
"hp omen 17-cm2027tx gaming laptop (13th gen core i7/ 16gb ram/ 1tb ssd/ win 11/ 8gb graphics)","hp","windows","16.0","24.0","8.0","16.0","ddr5","0","1024","17.3","3K+","0","4.45","126200.0","intel core i7 13700hx","nvidia geforce rtx 4060"
"hp omen 16 max 16-ah0076tx gaming laptop (intel core ultra 9 275hx/ 32gb/ 1tb ssd/ win11/ 16gb nvidia geforce rtx 5080)","hp","windows","24.0","24.0","16.0","32.0","ddr5","0","1024","16.0","3K+","0","4.15","309990.0","intel core ultra 9 275hx","nvidia geforce rtx 5080"
"hp victus 15-fb3012ax gaming laptop (amd ryzen 5 8645hs/ 16gb/ 512gb ssd/ win11/ 6gb graph)","hp","windows","6.0","12.0","6.0","16.0","ddr5","0","512","15.6","HD+","0","4.1","72799.0","amd ryzen 5 8645hs","nvidia geforce rtx 3050"
"hp 15-fd0468tu laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.45","68490.0","intel core i7 1355u","intel integrated"
"hp 250r g9 b10mta#acj laptop (13th gen core i3/ 16gb/ 512gb ssd/ win11)","hp","windows","6.0","8.0","0.0","16.0","ddr4","0","512","15.6","SD","0","4.15","33400.0","intel core i3 1315u","intel integrated"
"hp 15-fd0492tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.35","56490.0","intel core i5 1334u","intel integrated"
"hp 15-fd0465tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.25","40900.0","intel core i3 1315u","intel integrated"
"hp victus fa1198tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb graph)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.75","72990.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 255 g10 b15j0pt laptop (amd ryzen 5 7520u/ 8gb/ 512gb ssd/ dos)","hp","windows","4.0","8.0","0.0","8.0","ddr4","0","512","15.6","SD","0","4.65","29790.0","amd ryzen 5 7520u","amd integrated"
"hp victus 16-wf1150tx gaming laptop (14th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb rtx 4060)","hp","windows","16.0","24.0","8.0","16.0","ddr5","0","1024","16.1","HD+","0","4.7","122990.0","intel core i7 14650hx","nvidia geforce rtx 4060"
"hp 15-fd1197tu laptop (intel core ultra 5 125h/ 16gb/ 1tb ssd/ win11 home)","hp","windows","14.0","18.0","0.0","16.0","ddr5","0","1024","15.6","HD+","0","4.55","70490.0","intel core ultra 5 series 1 125h","intel integrated"
"hp victus 15-fa1278tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11/ 6gb rtx4050)","hp","windows","8.0","12.0","6.0","16.0","ddr4","0","512","15.6","HD+","0","4.3","77000.0","intel core i5 13420h","nvidia geforce rtx 4050"
"hp 15-fd0070tu laptop (12th gen core i5/ 8gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.3","46390.0","intel core i5 1235u","intel integrated"
"hp 15-fd0061tu laptop (12th gen core i3/ 8 gb/ 512gb ssd/ win11 home)","hp","windows","6.0","8.0","0.0","8.0","ddr4","0","512","15.6","HD+","0","4.7","34990.0","intel core i3 1215u","intel integrated"
"hp 15-fd0111tu laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11 home)","hp","windows","10.0","12.0","0.0","16.0","ddr4","0","512","15.6","HD+","0","4.2","48999.0","intel core i5 1235u","intel integrated"
